,Year,Category,Name,Birthdate,Birth Place,Country,Residence,Role/Affiliate,Field/Language,Prize Name,Motivation
667,1996,medicine,Peter C. Doherty,15-Oct-40,Brisbane,Australia,," St. Jude Children's Research Hospital, Memphis, TN, USA",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1996 was awarded jointly to Peter C. Doherty and Rolf M. Zinkernagel for their discoveries concerning the specificity of the cell mediated immune defence
668,1996,medicine,Rolf M. Zinkernagel,6-Jan-44,Basel,Switzerland,," University of Zurich, Institute of Experimental Immunology, Zurich, Switzerland",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1996 was awarded jointly to Peter C. Doherty and Rolf M. Zinkernagel for their discoveries concerning the specificity of the cell mediated immune defence
669,1996,peace,Carlos Filipe Ximenes Belo,3-Feb-48,Wailacama,East Timor,East Timor,," Human rights, peace movement",The Nobel Peace Prize,The Nobel Peace Prize 1996 was awarded jointly to Carlos Filipe Ximenes Belo and José Ramos-Horta for their work towards a just and peaceful solution to the conflict in East Timor
670,1996,peace,José Ramos-Horta,26-Dec-49,Dili,East Timor,East Timor,," Negotiation, peace movement",The Nobel Peace Prize,The Nobel Peace Prize 1996 was awarded jointly to Carlos Filipe Ximenes Belo and José Ramos-Horta for their work towards a just and peaceful solution to the conflict in East Timor
671,1996,physics,David M. Lee,20-Jan-31,Rye NY,USA,," Cornell University, Ithaca, NY, USA", Superfluidity,The Nobel Prize in Physics,"The Nobel Prize in Physics 1996 was awarded jointly to David M. Lee, Douglas D. Osheroff and Robert C. Richardson for their discovery of superfluidity in helium-3."
672,1996,physics,Douglas D. Osheroff,1-Aug-45,Aberdeen WA,USA,," Stanford University, Stanford, CA, USA", Superfluidity,The Nobel Prize in Physics,"The Nobel Prize in Physics 1996 was awarded jointly to David M. Lee, Douglas D. Osheroff and Robert C. Richardson for their discovery of superfluidity in helium-3."
673,1996,physics,Robert C. Richardson,26-Jul-37,Washington DC,USA,," Cornell University, Ithaca, NY, USA", Superfluidity,The Nobel Prize in Physics,"The Nobel Prize in Physics 1996 was awarded jointly to David M. Lee, Douglas D. Osheroff and Robert C. Richardson for their discovery of superfluidity in helium-3."
674,1997,chemistry,Jens C. Skou,8-Oct-18,Lemvig,Denmark,," Aarhus University, Aarhus, Denmark", Biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1997 was divided, one half jointly to Paul D. Boyer and John E. Walker for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP) and the other half to Jens C. Skou for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase."
675,1997,chemistry,John E. Walker,7-Jan-41,Halifax,United Kingdom,," MRC Laboratory of Molecular Biology, Cambridge, United Kingdom", Biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1997 was divided, one half jointly to Paul D. Boyer and John E. Walker for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP) and the other half to Jens C. Skou for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase."
676,1997,chemistry,Paul D. Boyer,31-Jul-18,Provo UT,USA,," University of California, Los Angeles, CA, USA", Biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1997 was divided, one half jointly to Paul D. Boyer and John E. Walker for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP) and the other half to Jens C. Skou for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase."
677,1997,economics,Myron S. Scholes,1-Jul-41,Timmins ON,Canada,," Long Term Capital Management, Greenwich, CT, USA", Financial economics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1997 was awarded jointly to Robert C. Merton and Myron S. Scholes for a new method to determine the value of derivatives
678,1997,economics,Robert C. Merton,31-Jul-49,New York NY,USA,," Harvard University, Cambridge, MA, USA", Financial economics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1997 was awarded jointly to Robert C. Merton and Myron S. Scholes for a new method to determine the value of derivatives
679,1997,literature,Dario Fo,24-Mar-26,Leggiuno-Sangiano,Italy,Italy,, Italian,The Nobel Prize in Literature,The Nobel Prize in Literature 1997 was awarded to Dario Fo who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden.
680,1997,medicine,Stanley B. Prusiner,28-May-42,Des Moines IA,USA,," University of California School of Medicine, San Francisco, CA, USA",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1997 was awarded to Stanley B. Prusiner for his discovery of Prions - a new biological principle of infection.
681,1997,peace,International Campaign to Ban Landmines (ICBL),,,,,," Arms control and disarmament, peace movement",The Nobel Peace Prize,The Nobel Peace Prize 1997 was awarded jointly to International Campaign to Ban Landmines (ICBL) and Jody Williams for their work for the banning and clearing of anti-personnel mines
682,1997,peace,Jody Williams,9-Oct-50,Putney VT,USA,"Putney, VT, USA",," Arms control and disarmament, peace movement",The Nobel Peace Prize,The Nobel Peace Prize 1997 was awarded jointly to International Campaign to Ban Landmines (ICBL) and Jody Williams for their work for the banning and clearing of anti-personnel mines
683,1997,physics,Claude Cohen-Tannoudji,1-Apr-33,Constantine,Algeria,," Collège de France, Paris, France, École Normale Supérieure, Paris, France", Atomic physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1997 was awarded jointly to Steven Chu, Claude Cohen-Tannoudji and William D. Phillips for development of methods to cool and trap atoms with laser light."
684,1997,physics,Steven Chu,28-Feb-48,St. Louis MO,USA,," Stanford University, Stanford, CA, USA", Atomic physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1997 was awarded jointly to Steven Chu, Claude Cohen-Tannoudji and William D. Phillips for development of methods to cool and trap atoms with laser light."
685,1997,physics,William D. Phillips,5-Nov-48,Wilkes-Barre PA,USA,," National Institute of Standards and Technology, Gaithersburg, MD, USA", Atomic physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1997 was awarded jointly to Steven Chu, Claude Cohen-Tannoudji and William D. Phillips for development of methods to cool and trap atoms with laser light."
686,1998,chemistry,John A. Pople,31-Oct-25,Burnham-on-Sea,United Kingdom,," Northwestern University, Evanston, IL, USA", Theoretical chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1998 was divided equally between Walter Kohn for his development of the density-functional theory and John A. Pople for his development of computational methods in quantum chemistry.
687,1998,chemistry,Walter Kohn,9-Mar-23,Vienna,Austria,," University of California, Santa Barbara, CA, USA", Theoretical chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1998 was divided equally between Walter Kohn for his development of the density-functional theory and John A. Pople for his development of computational methods in quantum chemistry.
688,1998,economics,Amartya Sen,3-Nov-33,Santiniketan,India,," Trinity College, Cambridge, United Kingdom", Welfare economics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1998 was awarded to Amartya Sen for his contributions to welfare economics.
689,1998,literature,José Saramago,16-Nov-22,Azinhaga,Portugal,Portugal,, Portuguese,The Nobel Prize in Literature,"The Nobel Prize in Literature 1998 was awarded to José Saramago who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality."
690,1998,medicine,Ferid Murad,14-Sep-36,Whiting IN,USA,," University of Texas Medical School at Houston, Houston, TX, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1998 was awarded jointly to Robert F. Furchgott, Louis J. Ignarro and Ferid Murad for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system."
691,1998,medicine,Louis J. Ignarro,31-May-41,Brooklyn NY,USA,," University of California School of Medicine, Los Angeles, CA, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1998 was awarded jointly to Robert F. Furchgott, Louis J. Ignarro and Ferid Murad for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system."
692,1998,medicine,Robert F. Furchgott,4-Jun-16,Charleston SC,USA,," SUNY Health Science Center, Brooklyn, NY, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1998 was awarded jointly to Robert F. Furchgott, Louis J. Ignarro and Ferid Murad for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system."
693,1998,peace,David Trimble,15-Oct-44,Belfast,Northern Ireland,United Kingdom," MP, Leader of the Ulster Unionist Party", Negotiation,The Nobel Peace Prize,The Nobel Peace Prize 1998 was awarded jointly to John Hume and David Trimble for their efforts to find a peaceful solution to the conflict in Northern Ireland
694,1998,peace,John Hume,18-Jan-37,Londonderry,Northern Ireland,United Kingdom," MP, Leader of the Social Democratic and Labour Party", Negotiation,The Nobel Peace Prize,The Nobel Peace Prize 1998 was awarded jointly to John Hume and David Trimble for their efforts to find a peaceful solution to the conflict in Northern Ireland
695,1998,physics,Daniel C. Tsui,28-Feb-39,Henan,China,," Princeton University, Princeton, NJ, USA", Condensed matter physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1998 was awarded jointly to Robert B. Laughlin, Horst L. Störmer and Daniel C. Tsui for their discovery of a new form of quantum fluid with fractionally charged excitations."
696,1998,physics,Horst L. Störmer,6-Apr-49,Frankfurt-on-the-Main,West Germany,," Columbia University, New York, NY, USA", Condensed matter physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1998 was awarded jointly to Robert B. Laughlin, Horst L. Störmer and Daniel C. Tsui for their discovery of a new form of quantum fluid with fractionally charged excitations."
697,1998,physics,Robert B. Laughlin,1-Nov-50,Visalia CA,USA,," Stanford University, Stanford, CA, USA", Condensed matter physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1998 was awarded jointly to Robert B. Laughlin, Horst L. Störmer and Daniel C. Tsui for their discovery of a new form of quantum fluid with fractionally charged excitations."
698,1999,chemistry,Ahmed H. Zewail,26-Feb-46,Damanhur,Egypt,," California Institute of Technology (Caltech), Pasadena, CA, USA"," Physical chemistry, chemical kinetics",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1999 was awarded to Ahmed Zewail for his studies of the transition states of chemical reactions using femtosecond spectroscopy.
699,1999,economics,Robert A. Mundell,24-Oct-32,Kingston ON,Canada,," Columbia University, New York, NY, USA", International macroeconomics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1999 was awarded to Robert A. Mundell for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas.
700,1999,literature,Günter Grass,16-Oct-27,Danzig (now Gdansk),Free City of Danzig (now Poland),Federal Republic of Germany,, German,The Nobel Prize in Literature,The Nobel Prize in Literature 1999 was awarded to Günter Grass whose frolicsome black fables portray the forgotten face of history.
701,1999,medicine,Günter Blobel,21-May-36,Waltersdorf (now Niegoslawice),Germany (now Poland),," Rockefeller University, New York, NY, USA, Howard Hughes Medical Institute",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1999 was awarded to Günter Blobel for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell.
702,1999,peace,Médecins Sans Frontières,1971 in Paris,,France,," An independent, neutral and impartial emergency aid organization", Humanitarian work,The Nobel Peace Prize,The Nobel Peace Prize 1999 was awarded to Médecins Sans Frontières in recognition of the organization's pioneering humanitarian work on several continents.
703,1999,physics,Gerardus 't Hooft,5-Jul-46,Den Helder,the Netherlands,," Utrecht University, Utrecht, the Netherlands", Particle physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1999 was awarded jointly to Gerardus 't Hooft and Martinus J.G. Veltman for elucidating the quantum structure of electroweak interactions in physics
704,1999,physics,Martinus J.G. Veltman,27-Jun-31,Waalwijk,the Netherlands,,, Particle physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1999 was awarded jointly to Gerardus 't Hooft and Martinus J.G. Veltman for elucidating the quantum structure of electroweak interactions in physics
705,2000,chemistry,Alan G. MacDiarmid,14-Apr-27,Masterton,New Zealand,," University of Pennsylvania, Philadelphia, PA, USA", Physical chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 2000 was awarded jointly to Alan J. Heeger, Alan G. MacDiarmid and Hideki Shirakawa for the discovery and development of conductive polymers."
706,2000,chemistry,Alan J. Heeger,22-Jan-36,Sioux City IA,USA,," University of California, Santa Barbara, CA, USA", Physical chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 2000 was awarded jointly to Alan J. Heeger, Alan G. MacDiarmid and Hideki Shirakawa for the discovery and development of conductive polymers."
707,2000,chemistry,Hideki Shirakawa,20-Aug-36,Tokyo,Japan,," University of Tsukuba, Tokyo, Japan", Physical chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 2000 was awarded jointly to Alan J. Heeger, Alan G. MacDiarmid and Hideki Shirakawa for the discovery and development of conductive polymers."
708,2000,economics,Daniel L. McFadden,29-Jul-37,Raleigh NC,USA,," University of California, Berkeley, CA, USA", Econometrics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2000 was divided equally between James J. Heckman for his development of theory and methods for analyzing selective samples and Daniel L. McFadden for his development of theory and methods for analyzing discrete choice.
709,2000,economics,James J. Heckman,19-Apr-44,Chicago IL,USA,," University of Chicago, Chicago, IL, USA", Econometrics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2000 was divided equally between James J. Heckman for his development of theory and methods for analyzing selective samples and Daniel L. McFadden for his development of theory and methods for analyzing discrete choice.
710,2000,literature,Gao Xingjian,4-Jan-40,Ganzhou,China,France,, Chinese,The Nobel Prize in Literature,"The Nobel Prize in Literature 2000 was awarded to Gao Xingjian for an ?uvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama."
711,2000,medicine,Arvid Carlsson,25-Jan-23,Uppsala,Sweden,," Göteborg University, Gothenburg, Sweden",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 2000 was awarded jointly to Arvid Carlsson, Paul Greengard and Eric R. Kandel for their discoveries concerning signal transduction in the nervous system."
712,2000,medicine,Eric R. Kandel,7-Nov-29,Vienna,Austria,," Columbia University, New York, NY, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 2000 was awarded jointly to Arvid Carlsson, Paul Greengard and Eric R. Kandel for their discoveries concerning signal transduction in the nervous system."
713,2000,medicine,Paul Greengard,11-Dec-25,New York NY,USA,," Rockefeller University, New York, NY, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 2000 was awarded jointly to Arvid Carlsson, Paul Greengard and Eric R. Kandel for their discoveries concerning signal transduction in the nervous system."
714,2000,peace,Kim Dae-jung,3-Dec-25,Mokpo,Korea (now South Korea),South Korea, President of South Korea," Humanitarian work, negotiation",The Nobel Peace Prize,"The Nobel Peace Prize 2000 was awarded to Kim Dae-jung for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular."
715,2000,physics,Herbert Kroemer,25-Aug-28,Weimar,Germany,," University of California, Santa Barbara, CA, USA"," Condensed matter physics, instrumentation",The Nobel Prize in Physics,The Nobel Prize in Physics 2000 was awarded for basic work on information and communication technology with one half jointly to Zhores I. Alferov and Herbert Kroemer for developing semiconductor heterostructures used in high-speed- and opto-electronics and the other half to Jack S. Kilby for his part in the invention of the integrated circuit.
716,2000,physics,Jack S. Kilby,8-Nov-23,Jefferson City MO,USA,," Texas Instruments, Dallas, TX, USA", Electronics technology,The Nobel Prize in Physics,The Nobel Prize in Physics 2000 was awarded for basic work on information and communication technology with one half jointly to Zhores I. Alferov and Herbert Kroemer for developing semiconductor heterostructures used in high-speed- and opto-electronics and the other half to Jack S. Kilby for his part in the invention of the integrated circuit.
717,2000,physics,Zhores I. Alferov,15-Mar-30,Vitebsk Belorussia,USSR (now Belarus),," A.F. Ioffe Physico-Technical Institute, St. Petersburg, Russia"," Condensed matter physics, instrumentation",The Nobel Prize in Physics,The Nobel Prize in Physics 2000 was awarded for basic work on information and communication technology with one half jointly to Zhores I. Alferov and Herbert Kroemer for developing semiconductor heterostructures used in high-speed- and opto-electronics and the other half to Jack S. Kilby for his part in the invention of the integrated circuit.
718,2001,chemistry,K. Barry Sharpless,28-Apr-41,Philadelphia PA,USA,," The Scripps Research Institute, La Jolla, CA, USA"," Organic chemistry, industrial chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 2001 was divided, one half jointly to William S. Knowles and Ryoji Noyori for their work on chirally catalysed hydrogenation reactions and the other half to K. Barry Sharpless for his work on chirally catalysed oxidation reactions."
719,2001,chemistry,Ryoji Noyori,3-Sep-38,Kobe,Japan,," Nagoya University, Nagoya, Japan"," Organic chemistry, industrial chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 2001 was divided, one half jointly to William S. Knowles and Ryoji Noyori for their work on chirally catalysed hydrogenation reactions and the other half to K. Barry Sharpless for his work on chirally catalysed oxidation reactions."
720,2001,chemistry,William S. Knowles,1-Jun-17,Taunton MA,USA,,," Organic chemistry, industrial chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 2001 was divided, one half jointly to William S. Knowles and Ryoji Noyori for their work on chirally catalysed hydrogenation reactions and the other half to K. Barry Sharpless for his work on chirally catalysed oxidation reactions."
721,2001,economics,A. Michael Spence,0 1943,Montclair NJ,USA,," Stanford University, Stanford, CA, USA", Economics of information,The Prize in Economic Sciences,"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2001 was awarded jointly to George A. Akerlof, A. Michael Spence and Joseph E. Stiglitz for their analyses of markets with asymmetric information."
722,2001,economics,George A. Akerlof,17-Jun-40,New Haven CT,USA,," University of California, Berkeley, CA, USA", Economics of information,The Prize in Economic Sciences,"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2001 was awarded jointly to George A. Akerlof, A. Michael Spence and Joseph E. Stiglitz for their analyses of markets with asymmetric information."
723,2001,economics,Joseph E. Stiglitz,9-Feb-43,Gary IN,USA,," Columbia University, New York, NY, USA", Economics of information,The Prize in Economic Sciences,"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2001 was awarded jointly to George A. Akerlof, A. Michael Spence and Joseph E. Stiglitz for their analyses of markets with asymmetric information."
724,2001,literature,Sir Vidiadhar Surajprasad Naipaul,17-Aug-32,,Trinidad,United Kingdom,, English,The Nobel Prize in Literature,The Nobel Prize in Literature 2001 was awarded to V. S. Naipaul for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories.
725,2001,medicine,Leland H. Hartwell,30-Oct-39,Los Angeles CA,USA,," Fred Hutchinson Cancer Research Center, Seattle, WA, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 2001 was awarded jointly to Leland H. Hartwell, Tim Hunt and Sir Paul M. Nurse for their discoveries of key regulators of the cell cycle."
726,2001,medicine,Sir Paul M. Nurse,25-Jan-49,Norwich,United Kingdom,," Imperial Cancer Research Fund, London, United Kingdom",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 2001 was awarded jointly to Leland H. Hartwell, Tim Hunt and Sir Paul M. Nurse for their discoveries of key regulators of the cell cycle."
727,2001,medicine,Tim Hunt,19-Feb-43,Neston,United Kingdom,," Imperial Cancer Research Fund, London, United Kingdom",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 2001 was awarded jointly to Leland H. Hartwell, Tim Hunt and Sir Paul M. Nurse for their discoveries of key regulators of the cell cycle."
728,2001,peace,Kofi Annan,8-Apr-38,Kumasi,Gold Coast (now Ghana),Ghana, U.N. Secretary-General, World organizing,The Nobel Peace Prize,The Nobel Peace Prize 2001 was awarded jointly to United Nations (U.N.) and Kofi Annan for their work for a better organized and more peaceful world
729,2001,peace,United Nations (U.N.),1945 in New York,NY,USA,,, World organizing,The Nobel Peace Prize,The Nobel Peace Prize 2001 was awarded jointly to United Nations (U.N.) and Kofi Annan for their work for a better organized and more peaceful world
730,2001,physics,Carl E. Wieman,26-Mar-51,Corvallis OR,USA,," University of Colorado, JILA, Boulder, CO, USA",,The Nobel Prize in Physics,"The Nobel Prize in Physics 2001 was awarded jointly to Eric A. Cornell, Wolfgang Ketterle and Carl E. Wieman for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates."
731,2001,physics,Eric A. Cornell,19-Dec-61,Palo Alto CF,USA,," University of Colorado, JILA, Boulder, CO, USA", Atomic physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 2001 was awarded jointly to Eric A. Cornell, Wolfgang Ketterle and Carl E. Wieman for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates."
732,2001,physics,Wolfgang Ketterle,21-Oct-57,Heidelberg,West Germany,," Massachusetts Institute of Technology (MIT), Cambridge, MA, USA", Atomic physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 2001 was awarded jointly to Eric A. Cornell, Wolfgang Ketterle and Carl E. Wieman for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates."
733,2002,chemistry,John B. Fenn,15-Jun-17,New York NY,USA,," Virginia Commonwealth University, Richmond, VA, USA", Physical chemical methodology,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 2002 was awarded for the development of methods for identification and structure analyses of biological macromolecules with one half jointly to John B. Fenn and Koichi Tanaka for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules and the other half to Kurt Wüthrich for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution.
734,2002,chemistry,Koichi Tanaka,3-Aug-59,Toyama City,Japan,," Shimadzu Corp., Kyoto, Japan", Physical chemical methodology,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 2002 was awarded for the development of methods for identification and structure analyses of biological macromolecules with one half jointly to John B. Fenn and Koichi Tanaka for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules and the other half to Kurt Wüthrich for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution.
735,2002,chemistry,Kurt Wüthrich,4-Oct-38,Aarberg,Switzerland,," Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology), Zurich, Switzerland, The Scripps Research Institute, La Jolla, CA, USA", Physical chemical methodology,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 2002 was awarded for the development of methods for identification and structure analyses of biological macromolecules with one half jointly to John B. Fenn and Koichi Tanaka for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules and the other half to Kurt Wüthrich for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution.
736,2002,economics,Daniel Kahneman,5-Mar-34,Tel Aviv,British Mandate of Palestine (now Israel),," Princeton University, Princeton, NJ, USA", Economic psychology and experimental economics,The Prize in Economic Sciences,"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2002 was divided equally between Daniel Kahneman for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty and Vernon L. Smith for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms."
737,2002,economics,Vernon L. Smith,1-Jan-27,Wichita KS,USA,," George Mason University, Fairfax, VA, USA", Economic psychology and experimental economics,The Prize in Economic Sciences,"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2002 was divided equally between Daniel Kahneman for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty and Vernon L. Smith for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms."
738,2002,literature,Imre Kertész,9-Nov-29,Budapest,Hungary,Hungary,, Hungarian,The Nobel Prize in Literature,The Nobel Prize in Literature 2002 was awarded to Imre Kertész for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history.
739,2002,medicine,H. Robert Horvitz,8-May-47,Chicago IL,USA,," Massachusetts Institute of Technology (MIT), Cambridge, MA, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 2002 was awarded jointly to Sydney Brenner, H. Robert Horvitz and John E. Sulston for their discoveries concerning 'genetic regulation of organ development and programmed cell death'."
740,2002,medicine,John E. Sulston,27-Mar-42,Cambridge,United Kingdom,," The Wellcome Trust Sanger Institute, Cambridge, United Kingdom",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 2002 was awarded jointly to Sydney Brenner, H. Robert Horvitz and John E. Sulston for their discoveries concerning 'genetic regulation of organ development and programmed cell death'."
741,2002,medicine,Sydney Brenner,13-Jan-27,Germiston,South Africa,," The Molecular Sciences Institute, Berkeley, CA, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 2002 was awarded jointly to Sydney Brenner, H. Robert Horvitz and John E. Sulston for their discoveries concerning 'genetic regulation of organ development and programmed cell death'."
742,2002,peace,Jimmy Carter,1-Oct-24,Plains GA,USA,USA, 39th President of the United States of America," Negotiation, human rights",The Nobel Peace Prize,"The Nobel Peace Prize 2002 was awarded to Jimmy Carter for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development."
743,2002,physics,Masatoshi Koshiba,19-Sep-26,Toyohashi,Japan,," University of Tokyo, Tokyo, Japan", Neutrino astrophysics,The Nobel Prize in Physics,"The Nobel Prize in Physics 2002 was divided, one half jointly to Raymond Davis Jr. and Masatoshi Koshiba for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos and the other half to Riccardo Giacconi for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources."
744,2002,physics,Raymond Davis Jr.,14-Oct-14,Washington DC,USA,," University of Pennsylvania, Philadelphia, PA, USA", Neutrino astrophysics,The Nobel Prize in Physics,"The Nobel Prize in Physics 2002 was divided, one half jointly to Raymond Davis Jr. and Masatoshi Koshiba for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos and the other half to Riccardo Giacconi for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources."
745,2002,physics,Riccardo Giacconi,6-Oct-31,Genoa,Italy,," Associated Universities Inc., Washington, DC, USA", Astrophysics,The Nobel Prize in Physics,"The Nobel Prize in Physics 2002 was divided, one half jointly to Raymond Davis Jr. and Masatoshi Koshiba for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos and the other half to Riccardo Giacconi for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources."
746,2003,chemistry,Peter Agre,30-Jan-49,Northfield MN,USA,," Johns Hopkins University School of Medicine, Baltimore, MD, USA"," Biochemistry, structural chemistry",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 2003 was awarded for discoveries concerning channels in cell membranes jointly with one half to Peter Agre for the discovery of water channels and with one half to Roderick MacKinnon for structural and mechanistic studies of ion channels.
747,2003,chemistry,Roderick MacKinnon,19-Feb-56,Burlington MA,USA,," Rockefeller University, New York, NY, USA, Howard Hughes Medical Institute"," Biochemistry, structural chemistry",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 2003 was awarded for discoveries concerning channels in cell membranes jointly with one half to Peter Agre for the discovery of water channels and with one half to Roderick MacKinnon for structural and mechanistic studies of ion channels.
748,2003,economics,Clive W.J. Granger,4-Sep-34,Swansea,United Kingdom,," University of California, San Diego, CA, USA", Econometrics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2003 was divided equally between Robert F. Engle III for methods of analyzing economic time series with time-varying volatility (ARCH) and Clive W.J. Granger for methods of analyzing economic time series with common trends (cointegration).
